Province/State,Country/Region,Lat,Long,Slope_regression,Rank
Unknown,Argentina,-38.4161,-63.6167,0.9661948084831238,47
Unknown,Cyprus,35.1264,33.4299,0.9513468742370605,48
Quebec,Canada,52.9399,-73.5491,0.9429190158843994,49
Unknown,Costa Rica,9.7489,-83.7534,0.9228882193565369,50
Unknown,Hungary,47.1625,19.5033,0.9133766889572144,51
Reunion,France,-21.1151,55.5364,0.7542966604232788,52
Unknown,Uruguay,-32.5228,-55.7658,0.7449195981025696,53
Unknown,Mongolia,46.8625,103.8467,0.7136071920394897,54
Tasmania,Australia,-42.8821,147.3272,0.6625963449478149,55
Unknown,Brunei,4.5353,114.7277,0.6404547691345215,56
Unknown,Croatia,45.1,15.2,0.6296074390411377,57
Unknown,Bolivia,-16.2902,-63.5887,0.6221018433570862,58
Unknown,Ukraine,48.3794,31.1656,0.6156384348869324,59
Unknown,Sweden,60.128161,18.643501,0.5866950750350952,60
Unknown,Peru,-9.19,-75.0152,0.5415598750114441,61
Australian Capital Territory,Australia,-35.4735,149.0124,0.524358332157135,62
Unknown,Mauritius,-20.348404,57.552152,0.5170866847038269,63
Unknown,Estonia,58.5953,25.0136,0.4903281629085541,64
Unknown,Bulgaria,42.7339,25.4858,0.47068554162979126,65
Unknown,Philippines,12.879721,121.774017,0.40714511275291443,66
Unknown,Bahrain,26.0275,50.55,0.39545196294784546,67
Guangdong,China,23.3417,113.4244,0.36863502860069275,68
Martinique,France,14.6415,-61.0242,0.34603002667427063,69
Unknown,Poland,51.9194,19.1451,0.34424126148223877,70
Unknown,Luxembourg,49.8153,6.1296,0.32015424966812134,71
Unknown,Iceland,64.9631,-19.0208,0.29947367310523987,72
Nova Scotia,Canada,44.682,-63.7443,0.2782551050186157,73
Unknown,Laos,19.85627,102.495496,0.26087042689323425,74
Guadeloupe,France,16.265,-61.551,0.2589018642902374,75
Unknown,Panama,8.538,-80.7821,0.2546008825302124,76
Unknown,Paraguay,-23.4425,-58.4438,0.22401967644691467,77
Unknown,Brazil,-14.235,-51.9253,0.22274664044380188,78
Northern Territory,Australia,-12.4634,130.8456,0.21458376944065094,79
Unknown,Trinidad and Tobago,10.6918,-61.2225,0.20085741579532623,80
Unknown,Barbados,13.1939,-59.5432,0.17229273915290833,81
New Brunswick,Canada,46.5653,-66.4619,0.1671762317419052,82
Unknown,Ecuador,-1.8312,-78.1834,0.1645362824201584,83
Alberta,Canada,53.9333,-116.5765,0.15925097465515137,84
Beijing,China,40.1824,116.4142,0.14484770596027374,85
Unknown,Botswana,-22.3285,24.6849,0.13997818529605865,86
New Caledonia,France,-20.904305,165.618042,0.13401038944721222,87
Shanghai,China,31.202,121.4491,0.12772639095783234,88
Prince Edward Island,Canada,46.5107,-63.4168,0.11892300844192505,89
Unknown,Tunisia,33.886917,9.537499,0.1127738356590271,90
Unknown,Bhutan,27.5142,90.4336,0.10842927545309067,91
Jersey,United Kingdom,49.2138,-2.1358,0.09750150144100189,92
Unknown,Montenegro,42.708678,19.37439,0.09514224529266357,93
Newfoundland and Labrador,Canada,53.1355,-57.6604,0.09329473972320557,94
Unknown,Malta,35.9375,14.3754,0.09082907438278198,95
Unknown,Zimbabwe,-19.015438,29.154857,0.0866328552365303,96
British Columbia,Canada,53.7267,-127.6476,0.08284167945384979,97
Unknown,Cuba,21.521757,-77.781167,0.08227521181106567,98
Unknown,Micronesia,7.4256,150.5508,0.077312171459198,99
Unknown,Lebanon,33.8547,35.8623,0.07563548535108566,100
