Province/State,Country/Region,Year,Month,Slope_regression,Lat,Long,Rank,prediction
Unknown,Norway,2020,2,0.0995,60.472,8.4689,12,0
Ontario,Canada,2020,2,0.0911,51.2538,-85.3232,13,0
Unknown,Iraq,2020,2,0.0793,33.2232,43.6793,14,0
Unknown,Sweden,2020,2,0.0764,60.1282,18.6435,15,0
Unknown,Netherlands,2020,2,0.0655,52.1326,5.2913,16,0
Unknown,Taiwan*,2020,2,0.0537,23.7,121.0,17,0
Unknown,United Arab Emirates,2020,2,0.0507,23.4241,53.8478,18,0
Unknown,US,2020,2,0.0419,40.0,-100.0,19,0
Unknown,Croatia,2020,2,0.0355,45.1,15.2,20,0
Unknown,Finland,2020,2,0.0345,61.9241,25.7482,21,0
Unknown,Israel,2020,2,0.0335,31.0461,34.8516,22,0
Unknown,Oman,2020,2,0.0335,21.5126,55.9233,23,0
Unknown,Mexico,2020,2,0.0271,23.6345,-102.5528,24,0
Hong Kong,China,2020,2,0.0246,22.3,114.2,25,0
Unknown,Greece,2020,2,0.0236,39.0742,21.8243,26,0
Unknown,Pakistan,2020,2,0.0227,30.3753,69.3451,27,0
Unknown,Lebanon,2020,2,0.0222,33.8547,35.8623,28,0
Unknown,Afghanistan,2020,2,0.0222,33.9391,67.71,29,0
Unknown,Denmark,2020,2,0.0197,56.2639,9.5018,30,0
Queensland,Australia,2020,2,0.0192,-27.4698,153.0251,31,0
Unknown,Romania,2020,2,0.0182,45.9432,24.9668,32,0
Unknown,Austria,2020,2,0.0167,47.5162,14.5501,33,0
Victoria,Australia,2020,2,0.0138,-37.8136,144.9631,34,0
Western Australia,Australia,2020,2,0.0138,-31.9505,115.8605,35,0
Unknown,Brazil,2020,2,0.0123,-14.235,-51.9253,36,0
Quebec,Canada,2020,2,0.0113,52.9399,-73.5491,37,0
Unknown,Chile,2020,2,0.0079,-35.6751,-71.543,38,0
Unknown,San Marino,2020,2,0.0069,43.9424,12.4578,39,0
Unknown,Monaco,2020,2,0.0069,43.7333,7.4167,40,0
Unknown,Luxembourg,2020,2,0.0069,49.8153,6.1296,41,0
Unknown,Ireland,2020,2,0.0069,53.1424,-7.6921,42,0
Unknown,Qatar,2020,2,0.0069,25.3548,51.1839,43,0
Unknown,Nigeria,2020,2,0.0064,9.082,8.6753,44,0
Unknown,New Zealand,2020,2,0.0064,-40.9006,174.886,45,0
Unknown,Iceland,2020,2,0.0064,64.9631,-19.0208,46,0
Unknown,Belarus,2020,2,0.0064,53.7098,27.9534,47,0
Unknown,Estonia,2020,2,0.0059,58.5953,25.0136,48,0
Unknown,North Macedonia,2020,2,0.0054,41.6086,21.7453,49,0
Unknown,Georgia,2020,2,0.0054,42.3154,43.3569,50,0
Unknown,US,2020,3,787.171,40.0,-100.0,1,1
Unknown,Spain,2020,3,319.7165,40.4637,-3.7492,2,2
Unknown,Germany,2020,3,204.7125,51.1657,10.4515,3,2
Unknown,Italy,2020,3,201.5403,41.8719,12.5674,4,2
Unknown,France,2020,3,170.9649,46.2276,2.2137,5,2
Unknown,United Kingdom,2020,3,135.2613,55.3781,-3.436,6,3
Unknown,Iran,2020,3,79.2855,32.4279,53.688,7,3
Unknown,Turkey,2020,3,63.5968,38.9637,35.2433,8,3
Unknown,Belgium,2020,3,46.5347,50.8333,4.4699,9,3
Unknown,Switzerland,2020,3,44.6972,46.8182,8.2275,10,3
Unknown,Netherlands,2020,3,41.421,52.1326,5.2913,11,3
Unknown,Austria,2020,3,31.0198,47.5162,14.5501,12,0
Unknown,Portugal,2020,3,29.1004,39.3999,-8.2245,13,0
Unknown,Israel,2020,3,22.6774,31.0461,34.8516,14,0
Unknown,Brazil,2020,3,21.9254,-14.235,-51.9253,15,0
Quebec,Canada,2020,3,20.4758,52.9399,-73.5491,16,0
Unknown,Sweden,2020,3,12.2056,60.1282,18.6435,17,0
Ontario,Canada,2020,3,11.6597,51.2538,-85.3232,18,0
Unknown,Ireland,2020,3,11.4786,53.1424,-7.6921,19,0
Unknown,Czechia,2020,3,10.8645,49.8175,15.473,20,0
Unknown,Chile,2020,3,10.7815,-35.6751,-71.543,21,0
Unknown,Russia,2020,3,10.1605,61.524,105.3188,22,0
Unknown,Norway,2020,3,9.2875,60.472,8.4689,23,0
Unknown,Philippines,2020,3,8.8452,12.8797,121.774,24,0
Unknown,Romania,2020,3,8.5609,45.9432,24.9668,25,0
Unknown,Poland,2020,3,8.3677,51.9194,19.1451,26,0
Unknown,Ecuador,2020,3,7.8109,-1.8312,-78.1834,27,0
Unknown,Luxembourg,2020,3,7.1185,49.8153,6.1296,28,0
Unknown,Malaysia,2020,3,6.8766,4.2105,101.9758,29,0
New South Wales,Australia,2020,3,6.7802,-33.8688,151.2093,30,0
Unknown,Pakistan,2020,3,6.5552,30.3753,69.3451,31,0
Unknown,Denmark,2020,3,6.0456,56.2639,9.5018,32,0
Unknown,Thailand,2020,3,5.4714,15.87,100.9925,33,0
Unknown,Saudi Arabia,2020,3,5.1379,23.8859,45.0792,34,0
Unknown,Indonesia,2020,3,5.031,-0.7893,113.9213,35,0
Unknown,India,2020,3,4.8972,20.5937,78.9629,36,0
Unknown,Dominican Republic,2020,3,4.679,18.7357,-70.1627,37,0
Unknown,Panama,2020,3,4.669,8.538,-80.7821,38,0
Unknown,South Africa,2020,3,4.627,-30.5595,22.9375,39,0
Unknown,Mexico,2020,3,4.5871,23.6345,-102.5528,40,0
Unknown,Japan,2020,3,4.3169,36.2048,138.2529,41,0
Unknown,Argentina,2020,3,4.1673,-38.4161,-63.6167,42,0
Unknown,Finland,2020,3,4.0085,61.9241,25.7482,43,0
Unknown,Peru,2020,3,3.7653,-9.19,-75.0152,44,0
Unknown,Serbia,2020,3,3.4415,44.0165,21.0059,45,0
Unknown,Colombia,2020,3,3.3492,4.5709,-74.2973,46,0
Victoria,Australia,2020,3,3.1665,-37.8136,144.9631,47,0
Unknown,Croatia,2020,3,3.0476,45.1,15.2,48,0
Unknown,Ukraine,2020,3,2.9258,48.3794,31.1656,49,0
British Columbia,Canada,2020,3,2.9073,53.7267,-127.6476,50,0
Unknown,Russia,2020,4,247.016,61.524,105.3188,1,1
Unknown,Brazil,2020,4,171.6525,-14.235,-51.9253,2,3
Unknown,Peru,2020,4,79.0329,-9.19,-75.0152,3,2
Unknown,Saudi Arabia,2020,4,50.3844,23.8859,45.0792,4,2
Unknown,India,2020,4,50.2897,20.5937,78.9629,5,2
Unknown,Ecuador,2020,4,43.5132,-1.8312,-78.1834,6,2
Unknown,Mexico,2020,4,38.2983,23.6345,-102.5528,7,2
Unknown,Singapore,2020,4,33.4138,1.2833,103.8333,8,2
Unknown,Belarus,2020,4,30.7313,53.7098,27.9534,9,2
Unknown,Pakistan,2020,4,28.9535,30.3753,69.3451,10,2
Unknown,Qatar,2020,4,27.7326,25.3548,51.1839,11,2
Unknown,Bangladesh,2020,4,21.9333,23.685,90.3563,12,0
Unknown,Ukraine,2020,4,14.7829,48.3794,31.1656,13,0
Unknown,Chile,2020,4,13.4398,-35.6751,-71.543,14,0
Unknown,United Arab Emirates,2020,4,12.1288,23.4241,53.8478,15,0
Unknown,South Africa,2020,4,8.4997,-30.5595,22.9375,16,0
Alberta,Canada,2020,4,7.5219,53.9333,-116.5765,17,0
Unknown,Kuwait,2020,4,6.7606,29.3117,47.4818,18,0
Unknown,Indonesia,2020,4,6.2363,-0.7893,113.9213,19,0
Unknown,Sweden,2020,4,6.0372,60.1282,18.6435,20,0
Unknown,Egypt,2020,4,5.6652,26.8206,30.8025,21,0
Unknown,Nigeria,2020,4,5.5161,9.082,8.6753,22,0
Unknown,Colombia,2020,4,5.469,4.5709,-74.2973,23,0
Unknown,Kazakhstan,2020,4,5.1103,48.0196,66.9237,24,0
Quebec,Canada,2020,4,4.9112,52.9399,-73.5491,25,0
Unknown,Ghana,2020,4,4.6507,7.9465,-1.0232,26,0
Unknown,United Kingdom,2020,4,4.4318,55.3781,-3.436,27,0
Unknown,Dominican Republic,2020,4,3.6549,18.7357,-70.1627,28,0
Unknown,Guinea,2020,4,3.3533,9.9456,-9.6966,29,0
Unknown,Oman,2020,4,3.1039,21.5126,55.9233,30,0
Unknown,Bahrain,2020,4,2.9657,26.0275,50.55,31,0
Unknown,Argentina,2020,4,2.8214,-38.4161,-63.6167,32,0
Unknown,Panama,2020,4,2.5288,8.538,-80.7821,33,0
Unknown,Morocco,2020,4,2.5077,31.7917,-7.0926,34,0
Unknown,Afghanistan,2020,4,2.4799,33.9391,67.71,35,0
Unknown,Maldives,2020,4,2.2229,3.2028,73.2207,36,0
Unknown,Senegal,2020,4,2.2131,14.4974,-14.4524,37,0
Unknown,Bolivia,2020,4,2.1531,-16.2902,-63.5887,38,0
Unknown,Somalia,2020,4,1.8127,5.1521,46.1996,39,0
Unknown,Bulgaria,2020,4,1.4854,42.7339,25.4858,40,0
Unknown,Sri Lanka,2020,4,1.4607,7.8731,80.7718,41,0
Unknown,Armenia,2020,4,1.4354,40.0691,45.0382,42,0
Unknown,Tanzania,2020,4,1.3973,-6.369,34.8888,43,0
Unknown,Sudan,2020,4,1.3424,12.8628,30.2176,44,0
Unknown,Algeria,2020,4,1.325,28.0339,1.6596,45,0
Unknown,Moldova,2020,4,1.2481,47.4116,28.3699,46,0
Unknown,Serbia,2020,4,1.1989,44.0165,21.0059,47,0
Unknown,Guatemala,2020,4,1.1228,15.7835,-90.2308,48,0
Unknown,Equatorial Guinea,2020,4,0.9742,1.6508,10.2679,49,0
Unknown,Mali,2020,4,0.9357,17.5707,-3.9962,50,0
Unknown,Brazil,2020,5,635.9839,-14.235,-51.9253,1,1
Unknown,India,2020,5,195.2399,20.5937,78.9629,2,2
Unknown,Chile,2020,5,193.2319,-35.6751,-71.543,3,2
Unknown,Peru,2020,5,134.5565,-9.19,-75.0152,4,2
Unknown,Mexico,2020,5,72.0327,23.6345,-102.5528,5,3
Unknown,Bangladesh,2020,5,55.7024,23.685,90.3563,6,3
Unknown,Iran,2020,5,46.3984,32.4279,53.688,7,3
Unknown,Pakistan,2020,5,46.2637,30.3753,69.3451,8,3
Unknown,South Africa,2020,5,44.4593,-30.5595,22.9375,9,3
Unknown,Qatar,2020,5,43.146,25.3548,51.1839,10,3
Unknown,Egypt,2020,5,31.7831,26.8206,30.8025,11,3
Unknown,Colombia,2020,5,30.4512,4.5709,-74.2973,12,3
Unknown,Argentina,2020,5,24.3871,-38.4161,-63.6167,13,0
Unknown,Oman,2020,5,19.7653,21.5126,55.9233,14,0
Unknown,Afghanistan,2020,5,19.1794,33.9391,67.71,15,0
Unknown,Kuwait,2020,5,19.0452,29.3117,47.4818,16,0
Unknown,Saudi Arabia,2020,5,18.2302,23.8859,45.0792,17,0
Unknown,Bolivia,2020,5,15.946,-16.2902,-63.5887,18,0
Unknown,Philippines,2020,5,12.2008,12.8797,121.774,19,0
Unknown,Indonesia,2020,5,11.7593,-0.7893,113.9213,20,0
Unknown,Armenia,2020,5,11.3133,40.0691,45.0382,21,0
Unknown,Guatemala,2020,5,9.3851,15.7835,-90.2308,22,0
Unknown,Kazakhstan,2020,5,8.8698,48.0196,66.9237,23,0
Unknown,Iraq,2020,5,8.8649,33.2232,43.6793,24,0
Unknown,United Arab Emirates,2020,5,8.6456,23.4241,53.8478,25,0
Unknown,Bahrain,2020,5,7.0427,26.0275,50.55,26,0
Unknown,Panama,2020,5,6.7048,8.538,-80.7821,27,0
Unknown,Djibouti,2020,5,6.3488,11.8251,42.5903,28,0
Unknown,Azerbaijan,2020,5,5.4048,40.1431,47.5769,29,0
Unknown,Tajikistan,2020,5,5.3387,38.861,71.2761,30,0
Unknown,Nepal,2020,5,5.0403,28.1667,84.25,31,0
Unknown,Cameroon,2020,5,5.0161,3.848,11.5021,32,0
Unknown,Haiti,2020,5,4.5798,18.9712,-72.2852,33,0
Unknown,Nigeria,2020,5,4.3169,9.082,8.6753,34,0
Unknown,Sudan,2020,5,4.3024,12.8628,30.2176,35,0
Unknown,Congo (Kinshasa),2020,5,3.8194,-4.0383,21.7587,36,0
Unknown,Nicaragua,2020,5,3.4738,12.8654,-85.2072,37,0
Unknown,Honduras,2020,5,3.4157,15.2,-86.2419,38,0
Unknown,Ethiopia,2020,5,3.2032,9.145,40.4897,39,0
Unknown,Kenya,2020,5,3.048,-0.0236,37.9062,40,0
Unknown,Venezuela,2020,5,2.7274,6.4238,-66.5897,41,0
Unknown,Moldova,2020,5,2.673,47.4116,28.3699,42,0
Unknown,Gabon,2020,5,2.3125,-0.8037,11.6094,43,0
Unknown,Central African Republic,2020,5,2.2528,6.6111,20.9394,44,0
Ontario,Canada,2020,5,2.0282,51.2538,-85.3232,45,0
Unknown,Poland,2020,5,2.027,51.9194,19.1451,46,0
Unknown,El Salvador,2020,5,1.9899,13.7942,-88.8965,47,0
Unknown,Dominican Republic,2020,5,1.9109,18.7357,-70.1627,48,0
Unknown,Mauritania,2020,5,1.8319,21.0079,-10.9408,49,0
Unknown,South Sudan,2020,5,1.7657,6.877,31.307,50,0
Unknown,US,2020,6,944.8654,40.0,-100.0,1,1
Unknown,Brazil,2020,6,442.38,-14.235,-51.9253,2,2
Unknown,India,2020,6,394.6932,20.5937,78.9629,3,2
Unknown,South Africa,2020,6,176.2723,-30.5595,22.9375,4,3
Unknown,Colombia,2020,6,87.5455,4.5709,-74.2973,5,0
Unknown,Argentina,2020,6,68.2102,-38.4161,-63.6167,6,0
Unknown,Saudi Arabia,2020,6,58.0427,23.8859,45.0792,7,0
Unknown,Mexico,2020,6,56.3148,23.6345,-102.5528,8,0
Unknown,Iraq,2020,6,54.5722,33.2232,43.6793,9,0
Unknown,Bangladesh,2020,6,45.4056,23.685,90.3563,10,0
Unknown,Honduras,2020,6,27.0999,15.2,-86.2419,11,0
Unknown,Turkey,2020,6,20.5259,38.9637,35.2433,12,0
Unknown,Indonesia,2020,6,20.4534,-0.7893,113.9213,13,0
Unknown,Bolivia,2020,6,19.9669,-16.2902,-63.5887,14,0
Unknown,Panama,2020,6,19.5491,8.538,-80.7821,15,0
Unknown,Israel,2020,6,17.5522,31.0461,34.8516,16,0
Unknown,Oman,2020,6,15.2776,21.5126,55.9233,17,0
Unknown,Dominican Republic,2020,6,14.8941,18.7357,-70.1627,18,0
Unknown,Ukraine,2020,6,14.8534,48.3794,31.1656,19,0
Unknown,Philippines,2020,6,13.483,12.8797,121.774,20,0
Unknown,Kazakhstan,2020,6,11.8389,48.0196,66.9237,21,0
Unknown,Azerbaijan,2020,6,11.006,40.1431,47.5769,22,0
Unknown,Guatemala,2020,6,10.9902,15.7835,-90.2308,23,0
Unknown,Nigeria,2020,6,10.8614,9.082,8.6753,24,0
Unknown,Morocco,2020,6,10.2567,31.7917,-7.0926,25,0
Unknown,Kyrgyzstan,2020,6,10.1642,41.2044,74.7661,26,0
Unknown,Nepal,2020,6,10.093,28.1667,84.25,27,0
Unknown,Ghana,2020,6,9.4627,7.9465,-1.0232,28,0
Unknown,West Bank and Gaza,2020,6,8.0943,31.9522,35.2332,29,0
Unknown,Germany,2020,6,7.9264,51.1657,10.4515,30,0
Unknown,Romania,2020,6,7.675,45.9432,24.9668,31,0
French Guiana,France,2020,6,7.5726,3.9339,-53.1258,32,0
Unknown,Uzbekistan,2020,6,6.9962,41.3775,64.5853,33,0
Unknown,Egypt,2020,6,6.343,26.8206,30.8025,34,0
Unknown,Serbia,2020,6,6.2274,44.0165,21.0059,35,0
Unknown,Algeria,2020,6,6.208,28.0339,1.6596,36,0
Unknown,El Salvador,2020,6,6.0073,13.7942,-88.8965,37,0
Unknown,Ecuador,2020,6,5.2823,-1.8312,-78.1834,38,0
Unknown,Czechia,2020,6,5.2432,49.8175,15.473,39,0
Unknown,Cote d'Ivoire,2020,6,5.0363,7.54,-5.5471,40,0
Unknown,Costa Rica,2020,6,4.7197,9.7489,-83.7534,41,0
Unknown,Venezuela,2020,6,4.6296,6.4238,-66.5897,42,0
Unknown,Bosnia and Herzegovina,2020,6,4.5604,43.9159,17.6791,43,0
Unknown,Armenia,2020,6,4.2372,40.0691,45.0382,44,0
Unknown,Kenya,2020,6,3.6921,-0.0236,37.9062,45,0
Unknown,Mauritania,2020,6,3.6759,21.0079,-10.9408,46,0
Unknown,Bulgaria,2020,6,3.576,42.7339,25.4858,47,0
Unknown,Paraguay,2020,6,3.2309,-23.4425,-58.4438,48,0
Unknown,Kosovo,2020,6,3.1353,42.6026,20.903,49,0
Unknown,Moldova,2020,6,2.8592,47.4116,28.3699,50,0
Unknown,India,2020,7,1245.3004,20.5937,78.9629,1,2
Unknown,US,2020,7,504.9968,40.0,-100.0,2,3
Unknown,Brazil,2020,7,426.5407,-14.235,-51.9253,3,3
Unknown,Colombia,2020,7,207.8883,4.5709,-74.2973,4,0
Unknown,Argentina,2020,7,120.9722,-38.4161,-63.6167,5,0
Unknown,Spain,2020,7,89.1641,40.4637,-3.7492,6,1
Unknown,Peru,2020,7,54.9742,-9.19,-75.0152,7,1
Unknown,Philippines,2020,7,43.1226,12.8797,121.774,8,1
Unknown,South Africa,2020,7,40.7847,-30.5595,22.9375,9,1
Unknown,Japan,2020,7,36.102,36.2048,138.2529,10,1
Unknown,Romania,2020,7,34.3552,45.9432,24.9668,11,1
Unknown,Mexico,2020,7,31.3665,23.6345,-102.5528,12,1
Unknown,Israel,2020,7,27.7464,31.0461,34.8516,13,1
Unknown,France,2020,7,27.427,46.2276,2.2137,14,1
Unknown,Ethiopia,2020,7,27.1081,9.145,40.4897,15,1
Unknown,Dominican Republic,2020,7,23.9798,18.7357,-70.1627,16,1
Unknown,Kyrgyzstan,2020,7,23.3661,41.2044,74.7661,17,1
Unknown,Iraq,2020,7,20.2935,33.2232,43.6793,18,1
Unknown,Morocco,2020,7,18.7879,31.7917,-7.0926,19,1
Unknown,Belgium,2020,7,17.0492,50.8333,4.4699,20,1
Unknown,Kenya,2020,7,15.7411,-0.0236,37.9062,21,1
Unknown,Indonesia,2020,7,14.3786,-0.7893,113.9213,22,1
Victoria,Australia,2020,7,14.0819,-37.8136,144.9631,23,1
Unknown,Venezuela,2020,7,13.9875,6.4238,-66.5897,24,1
Unknown,United Kingdom,2020,7,13.9109,55.3781,-3.436,25,1
Unknown,Uzbekistan,2020,7,13.0782,41.3775,64.5853,26,1
Unknown,Zambia,2020,7,11.5871,-13.1339,27.8493,27,1
Unknown,Germany,2020,7,11.5597,51.1657,10.4515,28,1
Unknown,Costa Rica,2020,7,11.0762,9.7489,-83.7534,29,1
Unknown,Bolivia,2020,7,10.7202,-16.2902,-63.5887,30,1
Unknown,Ukraine,2020,7,9.5774,48.3794,31.1656,31,1
Unknown,Poland,2020,7,9.4036,51.9194,19.1451,32,1
Unknown,Netherlands,2020,7,9.3899,52.1326,5.2913,33,1
Unknown,Singapore,2020,7,8.8097,1.2833,103.8333,34,1
Unknown,Algeria,2020,7,8.3157,28.0339,1.6596,35,1
Unknown,Bosnia and Herzegovina,2020,7,6.1214,43.9159,17.6791,36,1
Unknown,El Salvador,2020,7,6.0613,13.7942,-88.8965,37,1
Unknown,Madagascar,2020,7,5.7222,-18.7669,46.8691,38,1
Unknown,Czechia,2020,7,5.5452,49.8175,15.473,39,1
Unknown,Lebanon,2020,7,5.5415,33.8547,35.8623,40,1
Unknown,Libya,2020,7,5.0423,26.3351,17.2283,41,1
Hong Kong,China,2020,7,4.8157,22.3,114.2,42,1
Unknown,Paraguay,2020,7,4.6923,-23.4425,-58.4438,43,1
Unknown,Zimbabwe,2020,7,4.6194,-19.0154,29.1549,44,1
Unknown,Equatorial Guinea,2020,7,4.5444,1.6508,10.2679,45,1
Unknown,Moldova,2020,7,4.4452,47.4116,28.3699,46,1
Unknown,Kosovo,2020,7,3.5621,42.6026,20.903,47,1
Unknown,Serbia,2020,7,3.5569,44.0165,21.0059,48,1
Alberta,Canada,2020,7,3.4702,53.9333,-116.5765,49,1
Unknown,Italy,2020,7,3.4343,41.8719,12.5674,50,1
Unknown,India,2020,8,711.1629,20.5937,78.9629,1,1
Unknown,Spain,2020,8,231.6593,40.4637,-3.7492,2,2
Unknown,France,2020,8,153.2899,46.2276,2.2137,3,2
Unknown,Argentina,2020,8,124.648,-38.4161,-63.6167,4,2
Unknown,Iraq,2020,8,44.9762,33.2232,43.6793,5,0
Unknown,Ukraine,2020,8,42.0101,48.3794,31.1656,6,0
Unknown,Italy,2020,8,40.6681,41.8719,12.5674,7,0
Unknown,Ethiopia,2020,8,39.7133,9.145,40.4897,8,0
Unknown,Indonesia,2020,8,34.779,-0.7893,113.9213,9,0
Unknown,Nepal,2020,8,25.9524,28.1667,84.25,10,0
Unknown,Peru,2020,8,24.931,-9.19,-75.0152,11,0
Unknown,Germany,2020,8,20.0101,51.1657,10.4515,12,3
Unknown,United Kingdom,2020,8,18.5746,55.3781,-3.436,13,3
Unknown,Morocco,2020,8,17.596,31.7917,-7.0926,14,3
Unknown,Lebanon,2020,8,17.0778,33.8547,35.8623,15,3
Unknown,Paraguay,2020,8,16.3339,-23.4425,-58.4438,16,3
Unknown,Turkey,2020,8,16.2665,38.9637,35.2433,17,3
Unknown,Costa Rica,2020,8,15.0605,9.7489,-83.7534,18,3
Unknown,"Korea, South",2020,8,13.106,35.9078,127.7669,19,3
Unknown,Israel,2020,8,12.0383,31.0461,34.8516,20,3
Unknown,Croatia,2020,8,9.6919,45.1,15.2,21,3
Unknown,United Arab Emirates,2020,8,8.9032,23.4241,53.8478,22,3
Unknown,Honduras,2020,8,8.8379,15.2,-86.2419,23,3
Unknown,West Bank and Gaza,2020,8,8.725,31.9522,35.2332,24,3
Unknown,Libya,2020,8,8.2762,26.3351,17.2283,25,3
Unknown,Austria,2020,8,7.8101,47.5162,14.5501,26,3
Unknown,Namibia,2020,8,6.1512,-22.9576,18.4904,27,3
Unknown,Switzerland,2020,8,6.1109,46.8182,8.2275,28,3
Unknown,Czechia,2020,8,5.6254,49.8175,15.473,29,3
Unknown,Moldova,2020,8,5.3984,47.4116,28.3699,30,3
Unknown,Portugal,2020,8,5.1859,39.3999,-8.2245,31,3
Unknown,Jamaica,2020,8,4.6718,18.1096,-77.2975,32,3
Unknown,Tunisia,2020,8,4.6685,33.8869,9.5375,33,3
Unknown,Rwanda,2020,8,4.6661,-1.9403,29.8739,34,3
Unknown,Hungary,2020,8,4.477,47.1625,19.5033,35,3
Unknown,Greece,2020,8,4.0786,39.0742,21.8243,36,3
Unknown,Uganda,2020,8,3.9968,1.3733,32.2903,37,3
Unknown,Trinidad and Tobago,2020,8,3.4964,10.6918,-61.2225,38,3
Unknown,Belarus,2020,8,2.7911,53.7098,27.9534,39,3
Unknown,Bangladesh,2020,8,2.7847,23.685,90.3563,40,3
British Columbia,Canada,2020,8,2.719,53.7267,-127.6476,41,3
Reunion,France,2020,8,2.6726,-21.1151,55.5364,42,3
Guadeloupe,France,2020,8,2.596,16.265,-61.551,43,3
Alberta,Canada,2020,8,2.5931,53.9333,-116.5765,44,3
Unknown,Burma,2020,8,2.2359,21.9162,95.956,45,3
Unknown,Jordan,2020,8,2.1657,31.24,36.51,46,3
Unknown,Poland,2020,8,2.0153,51.9194,19.1451,47,3
Ontario,Canada,2020,8,1.9698,51.2538,-85.3232,48,3
Unknown,Slovakia,2020,8,1.8609,48.669,19.699,49,3
Unknown,Ireland,2020,8,1.7218,53.1424,-7.6921,50,3
Unknown,France,2020,9,190.9495,46.2276,2.2137,1,1
Unknown,United Kingdom,2020,9,179.994,55.3781,-3.436,2,1
Unknown,Spain,2020,9,141.3103,40.4637,-3.7492,3,3
Unknown,Israel,2020,9,137.2136,31.0461,34.8516,4,3
Unknown,Russia,2020,9,110.3775,61.524,105.3188,5,3
Unknown,US,2020,9,97.3568,40.0,-100.0,6,3
